企業名,MBTI,相性のいいMBTI,Webサイト,業界カテゴリ,企業規模,企業文化,働き方,求められるスキル・特性,評価制度,,,,,,,,,,,
ツルハホールディングス,ESTJ,"ENTP, ISTJ, ENTJ",https://www.tsuruha-hd.co.jp/,小売（ドラッグストア）,大規模,地域密着,シフト制,接客・店舗運営,成果主義,,,,,,,,,,,
ディズニー・ジャパン,ENFJ,"ENTP, INFJ, ENFP",https://www.disney.co.jp/,エンタメ・メディア,大規模,クリエイティブ・ブランド重視,シフト制・一部リモート可,マーケティング・IP管理,成果主義,,,,,,,,,,,
デジタルハリウッド,INFJ,"ENFP, INTJ, ENTP",https://www.dhw.co.jp/,教育・IT,中規模,イノベーション志向,フレックス制・リモート可,教育プログラム企画・デザイン,成果主義,,,,,,,,,,,
テルモ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.terumo.co.jp/,製薬・医療機器,大規模,研究開発重視,フレックス制,医療機器開発・薬事知識,年功序列＋成果評価,,,,,,,,,,,
テレビ西日本,ENFP,"INFJ, ENTP, ENTJ",https://www.tnc.co.jp/,放送・メディア,中規模,クリエイティブ・地域密着,シフト制,番組制作・報道,年功序列,,,,,,,,,,,
テレビ朝日,ENFJ,"ENTP, INFJ, ENFP",https://www.tv-asahi.co.jp/,放送・メディア,大規模,クリエイティブ・挑戦志向,シフト制・フレックス制あり,番組制作・広告営業,成果主義,,,,,,,,,,,
テレビ東京ホールディングス,ENFP,"INFJ, ENTP, ENTJ",https://www.tv-tokyo.co.jp/,放送・メディア,大規模,独自路線・コンテンツ重視,シフト制,番組企画・制作,成果主義,,,,,,,,,,,
デロイト トーマツ,ENTJ,"ESTJ, ENTP, INTJ",https://www2.deloitte.com/jp/ja.html,コンサルティング,大規模,グローバル・成果主義,フレックス制・リモート可,財務・経営戦略,成果主義,,,,,,,,,,,
デンソー,ISTJ,"ESTJ, ENTJ, ISTP",https://www.denso.com/jp/ja/,自動車・製造,大規模,技術志向・安定,フレックス制,機械設計・組み込み開発,年功序列＋成果評価,,,,,,,,,,,
デンソーテン,ISTJ,"ESTJ, ENTJ, ISTP",https://www.denso-ten.com/jp/,自動車・電子機器,大規模,技術志向,フレックス制,電子回路設計・品質管理,年功序列＋成果評価,,,,,,,,,,,
テンプスタッフ,ESFJ,"ENTP, ENFP, ESFP",https://www.tempstaff.co.jp/,人材派遣,大規模,柔軟性・サポート重視,フレックス制・リモート可,人材マッチング・営業,成果主義,,,,,,,,,,,
ドトールコーヒー,ESFJ,"ENTP, ENFP, ESFP",https://www.doutor.co.jp/,飲食,大規模,ホスピタリティ・ブランド重視,シフト制,接客・店舗運営,年功序列,,,,,,,,,,,
トヨタ自動車,ESTJ,"ENTP, ISTJ, ENTJ",https://global.toyota/,自動車,大規模,技術志向・安定,フレックス制,機械設計・生産管理,年功序列＋成果評価,,,,,,,,,,,
トヨタ車体,ISTJ,"ESTJ, ENTJ, ISTP",https://www.toyota-body.co.jp/,自動車,大規模,技術志向,フレックス制,車両設計・品質管理,年功序列,,,,,,,,,,,
トヨタ紡織,ISTJ,"ESTJ, ENTJ, ISTP",https://www.toyota-boshoku.com/,自動車部品,大規模,技術志向,フレックス制,素材開発・生産技術,年功序列,,,,,,,,,,,
ドリームインキュベータ,ENTP,"INFJ, ENFP, ENTJ",https://www.dreamincubator.co.jp/,コンサルティング,中規模,ベンチャー志向・成果重視,フレックス制・リモート可,戦略コンサルティング・投資分析,成果主義,,,,,,,,,,,
ドワンゴ,ENFP,"INFJ, ENTP, ENTJ",https://dwango.co.jp/,IT・メディア,大規模,クリエイティブ・挑戦的,フレックス制・リモート可,システム開発・動画配信技術,成果主義,,,,,,,,,,,
ドワンゴテクノロジーズ,ENTP,"INFJ, ENFP, ENTJ",https://dwango.co.jp/,IT,中規模,技術志向,フレックス制・リモート可,システム開発・AI技術,成果主義,,,,,,,,,,,
ドン・キホーテ,ESTP,"ESFP, ENTP, ISTP",https://www.donki.com/,小売,大規模,成果主義・スピード重視,シフト制,販売・店舗運営,成果主義,,,,,,,,,,,
ナガセ,INTJ,"ENTP, INTP, INFJ",https://www.nagase.co.jp/,教育,大規模,学力向上重視,固定勤務・一部フレックス可,教育企画・講師,年功序列＋成果評価,,,,,,,,,,,
ニコン,ISTJ,"ESTJ, ENTJ, ISTP",https://www.nikon.com/,精密機器,大規模,技術志向,フレックス制,光学技術・製造技術,年功序列＋成果評価,,,,,,,,,,,
ニッポン放送,ENFP,"INFJ, ENTP, ENTJ",https://www.1242.com/,放送・メディア,中規模,クリエイティブ・地域密着,シフト制,番組制作・広告営業,年功序列＋成果評価,,,,,,,,,,,
ニトリ,ESTJ,"ENTP, ISTJ, ENTJ",https://www.nitori.co.jp/,小売,大規模,顧客志向・効率重視,シフト制,販売・商品企画,成果主義,,,,,,,,,,,
ニトリホールディングス,ENTJ,"ESTJ, ENTP, INTJ",https://www.nitorihd.co.jp/,小売,大規模,経営効率重視,フレックス制,物流管理・経営企画,成果主義,,,,,,,,,,,
ニプロ,ISTP,"ESTP, ISTJ, ESTJ",https://www.nipro.co.jp/,製薬・医療機器,大規模,研究開発重視,フレックス制,医療機器開発・薬学知識,年功序列＋成果評価,,,,,,,,,,,
ノジマ,ESTP,"ESFP, ENTP, ISTP",https://www.nojima.co.jp/,小売（家電）,大規模,接客重視,シフト制,販売・商品知識,成果主義,,,,,,,,,,,
ノリタケカンパニーリミテド,ISTJ,"ESTJ, ENTJ, ISTP",https://www.noritake.co.jp/,製造（セラミック）,大規模,伝統技術・安定志向,フレックス制,セラミック技術・製造,年功序列＋成果評価,,,,,,,,,,,
パーソルホールディングス,ESTJ,"ENTP, ISTJ, ENTJ",https://www.persol-group.co.jp/,人材サービス,大規模,柔軟性・サポート重視,フレックス制・リモート可,人材マッチング・営業,成果主義,,,,,,,,,,,
ハードオフコーポレーション,ISTJ,"ESTJ, ENTJ, ISTP",https://www.hardoff.co.jp/,小売（リユース）,大規模,環境配慮・顧客志向,シフト制,販売・商品知識,成果主義,,,,,,,,,,,
ハイアット・リージェンシー東京,ESFJ,"ENTP, ENFP, ESFP",https://www.hyattregencytokyo.com/,ホテル,大規模,ホスピタリティ重視,シフト制,接客・マネジメント,成果主義,,,,,,,,,,,
ハウテレビジョン,ENTJ,"ESTJ, ENTP, INTJ",https://howtelevision.co.jp/,メディア,中規模,キャリア支援重視,フレックス制,マーケティング・ライティング,成果主義,,,,,,,,,,,
パソナグループ,ESFJ,"ENTP, ENFP, ESFP",https://www.pasonagroup.co.jp/,人材サービス,大規模,キャリア支援重視,フレックス制,採用・人材育成,成果主義,,,,,,,,,,,
パナソニック,ISTJ,"ESTJ, ENTJ, ISTP",https://panasonic.jp/,電機メーカー,大規模,技術志向・安定,フレックス制,エンジニアリング・製造,年功序列＋成果評価,,,,,,,,,,,
パナソニックエレクトリックワークス,ISTJ,"ESTJ, ENTJ, ISTP",https://panasonic-electric-works.net/,電機メーカー,大規模,技術革新志向,フレックス制,製品設計・開発,成果主義,,,,,,,,,,,
パナホーム,ISFJ,"ESFJ, ISTJ, ESTJ",https://homes.panasonic.com/,住宅,大規模,安定志向,フレックス制,建築設計・営業,年功序列,,,,,,,,,,,
はるやま商事,ESTJ,"ENTP, ISTJ, ENTJ",https://www.haruyama.co.jp/,小売（アパレル）,中規模,販売力重視,シフト制,接客・営業,成果主義,,,,,,,,,,,
バンダイ,ENFP,"INFJ, ENTP, ENTJ",https://www.bandai.co.jp/,玩具,大規模,クリエイティブ重視,フレックス制,企画・マーケティング,成果主義,,,,,,,,,,,
バンダイナムコエンターテインメント,ENFP,"INFJ, ENTP, ENTJ",https://www.bandainamcoent.co.jp/,ゲーム・エンタメ,大規模,技術・クリエイティブ重視,フレックス制,ゲーム開発・マーケティング,成果主義,,,,,,,,,,,
バンダイナムコホールディングス,ESFP,"ENTP, ENFP, ESFJ",https://www.bandainamco.co.jp/,エンターテインメント,大規模,グローバル志向,フレックス制,経営戦略・事業開発,成果主義,,,,,,,,,,,
ピクサー・ジャパン,INFJ,"ENFP, INTJ, ENTP",https://www.pixar.com/,アニメーション,中規模,クリエイティブ重視,フレックス制,CG・映像制作,成果主義,,,,,,,,,,,
ビクターエンタテインメント,ENFP,"INFJ, ENTP, ENTJ",https://www.jvcmusic.co.jp/,音楽,中規模,クリエイティブ志向,フレックス制,音楽制作・プロデュース,成果主義,,,,,,,,,,,
ピジョン,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.pigeon.co.jp/,医療・ベビー用品,大規模,ユーザー志向,フレックス制,商品開発・マーケティング,成果主義,,,,,,,,,,,
ビズリーチ,ENTP,"INFJ, ENFP, ENTJ",https://www.bizreach.jp/,人材サービス,大規模,テクノロジー活用,フレックス制,データ分析・営業,成果主義,,,,,,,,,,,
ビックカメラ,ESTP,"ESFP, ENTP, ISTP",https://www.biccamera.com/,小売（家電）,大規模,販売力重視,シフト制,接客・店舗管理,実力主義,,,,,,,,,,,
びっくりドンキー,ESFP,"ENTP, ENFP, ESFJ",https://www.bikkuri-donkey.com/,飲食,中規模,ホスピタリティ重視,シフト制,接客・店舗運営,年功序列,,,,,,,,,,,
ファナック,INTJ,"ENTP, INTP, INFJ",https://www.fanuc.co.jp/,ロボット・自動化,大規模,技術革新重視,フレックス制,機械設計・ソフトウェア,成果主義,,,,,,,,,,,
ファミリーマート,ESTJ,"ENTP, ISTJ, ENTJ",https://www.family.co.jp/,小売（コンビニ）,大規模,地域密着,シフト制,店舗管理・販売,実力主義,,,,,,,,,,,
フィナンシェ,ENFP,"INFJ, ENTP, ENTJ",https://www.financie.jp/,フィンテック,小規模,スタートアップ志向,フレックス制,ブロックチェーン・マーケティング,成果主義,,,,,,,,,,,
フーディソン,ESFP,"ENTP, ENFP, ESFJ",https://foodison.jp/,食品流通,中規模,イノベーション志向,フレックス制,物流・マーケティング,成果主義,,,,,,,,,,,
フェデックス（FedEx Japan）,ESTP,"ESFP, ENTP, ISTP",https://www.fedex.com/ja-jp/home.html,物流,大規模,グローバル志向,シフト制,物流管理・営業,成果主義,,,,,,,,,,,
フォースバレー・コンシェルジュ,ESTP,"ESFP, ENTP, ISTP",https://www.4th-valley.com/,人材サービス,中規模,グローバル志向,フレックス制,採用・キャリアサポート,成果主義,,,,,,,,,,,
フォルシアキャリア,INTP,"ENTP, INTJ, INFP",https://forcia.com/,HRテック,小規模,データ活用,フレックス制,AI・キャリア分析,成果主義,,,,,,,,,,,
フジ・メディア・ホールディングス,ENFJ,"ENTP, INFJ, ENFP",https://www.fujimediahd.co.jp/,メディア,大規模,エンタメ重視,固定勤務,放送・コンテンツ制作,年功序列＋成果評価,,,,,,,,,,,
フジタ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.fujita.com/,建設,大規模,技術革新志向,フレックス制,建築設計・施工管理,成果主義,,,,,,,,,,,
フジテレビ,ENFP,"INFJ, ENTP, ENTJ",https://www.fujitv.co.jp/,メディア,大規模,クリエイティブ志向,固定勤務,映像制作・プロデュース,成果主義,,,,,,,,,,,
フライングドッグ,ENFP,"INFJ, ENTP, ENTJ",https://www.jvcmusic.co.jp/flyingdog/,音楽・アニメ,中規模,クリエイティブ志向,フレックス制,音楽制作・プロデュース,成果主義,,,,,,,,,,,
ブラザー工業,ISTJ,"ESTJ, ENTJ, ISTP",https://www.brother.co.jp/,精密機械,大規模,技術開発重視,フレックス制,機械設計・エンジニアリング,年功序列＋成果評価,,,,,,,,,,,
フリークアウト,ENTP,"INFJ, ENFP, ENTJ",https://www.freakout.co.jp/,広告テクノロジー,中規模,データドリブン,フレックス制,データ解析・マーケティング,成果主義,,,,,,,,,,,
ブリヂストン,ISTJ,"ESTJ, ENTJ, ISTP",https://www.bridgestone.co.jp/,自動車部品,大規模,技術革新志向,フレックス制,製造・品質管理,年功序列＋成果評価,,,,,,,,,,,
プリンスホテル,ESFJ,"ENTP, ENFP, ESFP",https://www.princehotels.co.jp/,ホテル,大規模,ホスピタリティ重視,シフト制,接客・運営,年功序列,,,,,,,,,,,
プルデンシャル生命保険,ISTJ,"ESTJ, ENTJ, ISTP",https://www.prudential.co.jp/,金融（保険）,大規模,成果主義,フレックス制,営業・金融知識,成果主義,,,,,,,,,,,
ブルボン,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.bourbon.co.jp/,食品,大規模,品質志向,シフト制,食品開発・生産管理,年功序列,,,,,,,,,,,
プレジデント社,INTJ,"ENTP, INTP, INFJ",https://www.president.co.jp/,出版,中規模,専門性重視,固定勤務,編集・ライティング,年功序列,,,,,,,,,,,
フレッシュネスバーガー,ESFP,"ENTP, ENFP, ESFJ",https://www.freshnessburger.co.jp/,飲食,中規模,ホスピタリティ重視,シフト制,接客・店舗運営,年功序列,,,,,,,,,,,
フロンティア・マネジメント,ENTJ,"ESTJ, ENTP, INTJ",https://www.frontier-mgmt.com/,コンサルティング,中規模,成果主義,フレックス制,財務分析・経営戦略,成果主義,,,,,,,,,,,
ベイン・アンド・カンパニー,ENTJ,"ESTJ, ENTP, INTJ",https://www.bain.com/,コンサルティング,大規模,実力主義,フレックス制,戦略立案・分析,成果主義,,,,,,,,,,,
ヘーベルハウス,ISTJ,"ESTJ, ENTJ, ISTP",,住宅,大規模,品質志向,フレックス制,建築設計・営業,年功序列,,,,,,,,,,,
ベネッセコーポレーション,INFJ,"ENFP, INTJ, ENTP",https://www.benesse.co.jp/,教育,大規模,教育志向,フレックス制,教育開発・マーケティング,成果主義,,,,,,,,,,,
ホシザキ電機,ISTJ,"ESTJ, ENTJ, ISTP",https://www.hoshizaki.co.jp/,電機,大規模,技術開発重視,フレックス制,機械設計・営業,年功序列＋成果評価,,,,,,,,,,,
ボストン コンサルティング グループ,ENTJ,"ESTJ, ENTP, INTJ",https://www.bcg.com/,コンサルティング,大規模,実力主義,フレックス制,戦略立案・データ分析,成果主義,,,,,,,,,,,
ホテルニューオータニ,ESFJ,"ENTP, ENFP, ESFP",https://www.newotani.co.jp/,ホテル,大規模,ホスピタリティ重視,シフト制,接客・運営,年功序列,,,,,,,,,,,
ポテンシャライト,ENTP,"INFJ, ENFP, ENTJ",https://www.potentialight.co/,人材サービス,小規模,スタートアップ志向,フレックス制,採用戦略・マーケティング,成果主義,,,,,,,,,,,
ポニーキャニオン,ENFP,"INFJ, ENTP, ENTJ",https://www.ponycanyon.co.jp/,音楽・映像,中規模,クリエイティブ志向,フレックス制,音楽制作・映像プロデュース,成果主義,,,,,,,,,,,
ポラスグループ,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.polus.co.jp/,住宅,大規模,地域密着,フレックス制,建築設計・営業,年功序列,,,,,,,,,,,
ボンズ,INFP,"INFJ, ENFP, INTP",https://www.bones.co.jp/,アニメーション,中規模,クリエイティブ志向,フレックス制,アニメ制作・プロデュース,成果主義,,,,,,,,,,,
ホンダ,ISTP,"ESTP, ISTJ, ESTJ",https://www.honda.co.jp/,自動車,大規模,技術革新志向,フレックス制,機械設計・エンジニアリング,年功序列＋成果評価,,,,,,,,,,,
ホンダアクセス,ISTP,"ESTP, ISTJ, ESTJ",https://www.honda-access.co.jp/,自動車部品,大規模,技術開発志向,フレックス制,製品開発・品質管理,年功序列＋成果評価,,,,,,,,,,,
マイクロアド,ENTP,"INFJ, ENFP, ENTJ",https://www.microad.co.jp/,広告テクノロジー,中規模,データドリブン,フレックス制,データ解析・マーケティング,成果主義,,,,,,,,,,,
マイナビ,ENFJ,"ENTP, INFJ, ENFP",https://www.mynavi.jp/,人材サービス,大規模,キャリア支援重視,フレックス制,採用・営業,成果主義,,,,,,,,,,,
マッキャンエリクソン,ENFP,"INFJ, ENTP, ENTJ",https://www.mccann.co.jp/,広告代理店,大規模,クリエイティブ志向,フレックス制,広告企画・マーケティング,成果主義,,,,,,,,,,,
マッキンゼー・アンド・カンパニー,ENTJ,"ESTJ, ENTP, INTJ",https://www.mckinsey.com/jp,コンサルティング,大規模,実力主義,フレックス制,戦略立案・分析,成果主義,,,,,,,,,,,
マツダ,ISTP,"ESTP, ISTJ, ESTJ",https://www.mazda.co.jp/,自動車,大規模,技術革新志向,フレックス制,車両設計・エンジニアリング,年功序列＋成果評価,,,,,,,,,,,
マツダE&T,ISTP,"ESTP, ISTJ, ESTJ",https://www.madhouse.co.jp/,自動車エンジニアリング,中規模,技術革新志向,フレックス制,製品設計・テスト,成果主義,,,,,,,,,,,
